song,song_type,film_name,year,language,lyricist,composer,singer
balkhaati sharmaati aa ja,Film song,Usne Kahaa Tha,1960,Hindi,Shailendra,Salil Chowdhury,"Lata, Md. Rafi & Chorus"
jaane waale sipaahi se poochho,Film song,Usne Kahaa Tha,1960,Hindi,Makhdoom moinuddin,Salil Chowdhury,Manna Dey & Sabita Banerji
Gori baabul ka gharwaa ab hai bideswaa,Film song,Chaardiwaari,1961,Hindi,Shailendra,Salil Chowdhury,Lata & Chorus
"Kaise manaao.n piyawaa, gun mere",Film song,Chaardiwaari,1961,Hindi,Shailendra,Salil Chowdhury,Mukesh
Jhuk jhuk jhuk jhoom ghaTaa aayee re,Film song,Chaardiwaari,1961,Hindi,Shailendra,Salil Chowdhury,Lata
Akelaa tujhe jaane na doo.ngi,Film song,Chaardiwaari,1961,Hindi,Shailendra,Salil Chowdhury,Lata
"Neend pari lori gaaye, maa jhulaaye",Film song,Chaardiwaari,1961,Hindi,Shailendra,Salil Chowdhury,Lata
"Humko samajh baiThi hai, ye duniyaa",Film song,Chaardiwaari,1961,Hindi,Shailendra,Salil Chowdhury,Mukesh
Title music,Film song,Chaayaa,1961,Hindi,Not applicable,Salil Chowdhury,Not applicable
Ya kah de hum insaan nahi.n,Film song,Chhayaa,1961,Hindi,Rajinder kishan,Salil Chowdhury,Md. Rafi
Chham chham naachata aayee bahaar,Film song,Chhayaa,1961,Hindi,Rajinder kishan,Salil Chowdhury,Lata
Itnaa na mujhse tu pyaar baDhaa,Film song,Chhayaa,1961,Hindi,Rajinder kishan,Salil Chowdhury,Lata & Talat Mahmood
Itnaa na mujhse tu pyaar baDhaa,Film song,Chhayaa,1961,Hindi,Rajinder kishan,Salil Chowdhury,Talat Mahmood
aa.nkho.n mei.n masti sharaab ki,Film song,Chhayaa,1961,Hindi,Rajinder kishan,Salil Chowdhury,Talat Mahmood
aa.nsoo samajh ke kyo.n mujhe,Film song,Chhayaa,1961,Hindi,Rajinder kishan,Salil Chowdhury,Talat Mahmood
Dil se dil ki Dor baandhe,Film song,Chhayaa,1961,Hindi,Rajinder kishan,Salil Chowdhury,Lata & Mukesh
"Gangaa aaye kahaa.n se, gangaa jaaye",Film song,Kabuliwaalaa,1961,Hindi,Gulzar,Salil Chowdhury,Hemant Kumar
"Ay mere pyaare watan, ai mere bichhDe chaman",Film song,Kabuliwaalaa,1961,Hindi,Prem Dhawan,Salil Chowdhury,Manna Dey
Ho ya qurbaan.. o sabaa kehnaa mere dildaar ko,Film song,Kabuliwaalaa,1961,Hindi,Prem Dhawan,Salil Chowdhury,Md. Rafi & Chorus
Kaabuliwaalaa.. nanhi munni kyo.n kumhalaaya,Film song,Kabuliwaalaa,1961,Hindi,Prem Dhawan,Salil Chowdhury,"Hemnat Kumar, Usha Mangeshkar, Sabita, Ranu Mukherjee"
Title music,Film song,Maya,1961,Hindi,Not applicable,Salil Chowdhury,not applicable
Koi sone ke dil waala,Film song,Maya,1961,Hindi,Majrooh,Salil Chowdhury,Md. Rafi
"Zindagi hai kyaa, sun meri jaa.n",Film song,Maya,1961,Hindi,Majrooh,Salil Chowdhury,Md. Rafi
"Tasveer teri dil mei.n, jis din se utaari",Film song,Maya,1961,Hindi,Majrooh,Salil Chowdhury,Lata & Md. Rafi
Jaadoo Daale hai machal machal,Film song,Maya,1961,Hindi,Majrooh,Salil Chowdhury,Asha Bhonsle & Chorus
"Jaa re, jaa re uD jaa re panchhi",Film song,Maya,1961,Hindi,Majrooh,Salil Chowdhury,Lata
"Phir ek baar kaho, isi adaa se kaho",Film song,Maya,1961,Hindi,Majrooh,Salil Chowdhury,Lata & Dwijen Mukherjee
Ai dil kahaa.n teri manzil,Film song,Maya,1961,Hindi,Majrooh,Salil Chowdhury,"Dwijen Mukherjee, Lata & Chorus"
Ai dil kahaa.n teri manzil,Film song,Maya,1961,Hindi,Majrooh,Salil Chowdhury,Lata
Sanam tu chal diyaa rastaa mere binaa,Film song,Maya,1961,Hindi,Majrooh,Salil Chowdhury,Md. Rafi
Hu tu tu… hum to ghar mei.n choolha phhonkein,Film song,Memdidi,1961,Hindi,Shailendra,Salil Chowdhury,"Lata, Mahendra Kapoor & Chorus"
Raato.n ko jab neend uD jaaye,Film song,Memdidi,1961,Hindi,Shailendra,Salil Chowdhury,Lata & Chorus
"Bachpan o bachpan, pyaare pyaare bachpan",Film song,Memdidi,1961,Hindi,Shailendra,Salil Chowdhury,Lata & Chorus
Bhulaa do zindagi ke gham ver1 ,Film song,Memdidi,1961,Hindi,Shailendra,Salil Chowdhury,Lata & Chorus
Bhulaa do zindagi ke gham ver2,Film song,Memdidi,1961,Hindi,Shailendra,Salil Chowdhury,Lata & Chorus
Mai.n jaanti hoo.n tum jhooTh bolte ho,Film song,Memdidi,1961,Hindi,Shailendra,Salil Chowdhury,Lata & Mukesh
"BeTa bow.wow.wow, mere kaan mat kha",Film song,Memdidi,1961,Hindi,Shailendra,Salil Chowdhury,Lata
